ID,Prediction
1,1.0
2,0.608872555667
3,1.0
4,0.199096975572
5,1.0
6,0.608316482472
7,1.0
8,1.0
9,0.800571338151
10,1.0
11,1.0
12,1.0
13,0.804731976757
14,1.0
15,1.0
16,0.794817810978
17,1.0
18,0.392469905067
19,0.411156338262
20,0.194153577681
21,0.599628519274
22,1.0
23,0.596482566584
24,0.405109398429
25,0.604014152655
26,1.0
27,0.791769826831
28,1.0
29,1.0
30,1.0
31,1.0
32,1.0
33,1.0
34,1.0
35,1.0
36,1.0
37,0.0
38,0.393522923354
39,0.813386253255
40,0.606328565339
41,1.0
42,0.79670624546
43,0.198924823518
44,1.0
45,0.797126811358
46,0.802705720889
47,1.0
48,1.0
49,1.0
50,1.0
51,1.0
52,0.410234253548
53,1.0
54,1.0
55,1.0
56,0.391717890431
57,1.0
58,0.605747740727
59,1.0
60,1.0
61,0.595846118704
62,0.599139043429
63,1.0
64,1.0
65,1.0
66,1.0
67,1.0
68,1.0
69,0.599126678088
70,0.0
71,0.194413913566
72,0.392454174371
73,1.0
74,1.0
75,0.409563837327
76,0.582835876542
77,1.0
78,0.591402819202
79,0.789963420785
80,1.0
81,0.799254947107
82,0.602161765073
83,0.198424336698
84,0.802083789192
85,1.0
86,0.0
87,1.0
88,1.0
89,1.0
90,0.58018370657
91,1.0
92,1.0
93,1.0
94,1.0
95,0.801473824154
96,0.208110865713
97,1.0
98,0.1958121846
99,1.0
100,1.0
101,1.0
102,1.0
103,1.0
104,0.597057122769
105,1.0
106,1.0
107,0.608320054696
108,1.0
109,1.0
110,0.811795127917
111,1.0
112,1.0
113,1.0
114,0.798941598513
115,0.806428031991
116,0.807561957859
117,0.60331203808
118,0.803533614507
119,1.0
120,1.0
121,1.0
122,1.0
123,1.0
124,1.0
125,1.0
126,1.0
127,1.0
128,1.0
129,1.0
130,0.600166063829
131,1.0
132,1.0
133,1.0
134,1.0
135,1.0
136,1.0
137,1.0
138,0.59638078697
